coordinates,filtered_cope1.psc.nii.gz,filtered_cope2.psc.nii.gz,filtered_cope3.psc.nii.gz,filtered_cope4.psc.nii.gz,filtered_cope5.psc.nii.gz,filtered_cope6.psc.nii.gz,filtered_cope7.psc.nii.gz,filtered_cope8.psc.nii.gz,filtered_cope9.psc.nii.gz,filtered_cope10.psc.nii.gz,filtered_cope11.psc.nii.gz,filtered_cope12.psc.nii.gz,filtered_cope13.psc.nii.gz,filtered_cope14.psc.nii.gz,filtered_cope15.psc.nii.gz,filtered_cope16.psc.nii.gz,filtered_cope17.psc.nii.gz,filtered_cope18.psc.nii.gz,filtered_cope19.psc.nii.gz,filtered_cope20.psc.nii.gz,filtered_cope21.psc.nii.gz,filtered_cope22.psc.nii.gz,filtered_cope23.psc.nii.gz,filtered_cope24.psc.nii.gz,filtered_cope25.psc.nii.gz,filtered_cope26.psc.nii.gz,filtered_cope27.psc.nii.gz,filtered_cope28.psc.nii.gz,filtered_cope29.psc.nii.gz,filtered_cope30.psc.nii.gz,filtered_cope31.psc.nii.gz,filtered_cope32.psc.nii.gz,filtered_cope33.psc.nii.gz,filtered_cope34.psc.nii.gz,filtered_cope35.psc.nii.gz,filtered_cope36.psc.nii.gz,filtered_cope37.psc.nii.gz,filtered_cope38.psc.nii.gz,filtered_cope39.psc.nii.gz,filtered_cope40.psc.nii.gz,filtered_cope41.psc.nii.gz,filtered_cope42.psc.nii.gz,filtered_cope43.psc.nii.gz,filtered_cope44.psc.nii.gz,filtered_cope45.psc.nii.gz,filtered_cope46.psc.nii.gz,filtered_cope47.psc.nii.gz,filtered_cope48.psc.nii.gz,
23  34  29,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,
65.9998  37  30,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,0.000000 ,
